Well,Protein Name,Gene Symbol,Cq_mr108_pos,Cq_mr111_pos,Cq_mr113_pos,Cq_mr89_pos,Cq_mr97_pos,Cq_mr98_pos,Cq_mr108_neg,Cq_mr111_neg,Cq_mr113_neg,Cq_mr89_neg,Cq_mr97_neg,Cq_mr98_neg,Class,TWS opdeling,Norm_mr108_pos,Norm_mr111_pos,Norm_mr113_pos,Norm_mr89_pos,Norm_mr97_pos,Norm_mr98_pos,Norm_mr108_neg,Norm_mr111_neg,Norm_mr113_neg,Norm_mr89_neg,Norm_mr97_neg,Norm_mr98_neg,log2_Norm_mr108_pos,log2_Norm_mr111_pos,log2_Norm_mr113_pos,log2_Norm_mr89_pos,log2_Norm_mr97_pos,log2_Norm_mr98_pos,log2_Norm_mr108_neg,log2_Norm_mr111_neg,log2_Norm_mr113_neg,log2_Norm_mr89_neg,log2_Norm_mr97_neg,log2_Norm_mr98_neg,pvalues,-log10(pvalue),log2_FC
C12,Chemokine-like receptor 1,Cmklr1,32.24,36.72,36.71,26.69,26.97,33.21,26.6,27.67,32.58,34.59,23.06,27.87,A,Chemokine receptors,6.773962499,0.303548721,0.305660069,317.3651712,261.3791042,3.458148925,337.7940252,160.8977119,5.351710219,1.328685814,3929.145833,140.0695938,2.76,-1.72,-1.71,8.31,8.03,1.79,8.4,7.33,2.42,0.41,11.94,7.13,0.208038534,0.681856216,-3.361666667
C13,Cannabinoid receptor 1 (brain),Cnr1,25.65,32.59,29.18,24.46,23.47,26.59,26.08,26.78,24.72,28.16,24.65,25.51,A,Lipid messenger receptors,652.5750412,5.314743256,56.49299176,1488.867858,2957.166992,340.1435684,484.3815151,298.1717981,1243.335562,114.5632091,1305.150082,719.0757764,9.35,2.41,5.82,10.54,11.53,8.41,8.92,8.22,10.28,6.84,10.35,9.49,0.512364743,0.290420763,-1.006666667
C14,Cannabinoid receptor 2 (macrophage),Cnr2,35.53,38.6,36.12,40,30.2,38.45,34.53,36.59,36.51,40,40,38.06,A,Lipid messenger receptors,0.692554734,0.082469244,0.460093825,0.03125,27.85761803,0.091505356,1.385109468,0.332171454,0.351111219,0.03125,0.03125,0.119908015,-0.53,-3.6,-1.12,-5,4.8,-3.45,0.47,-1.59,-1.51,-5,-5,-3.06,0.515649147,0.287645696,1.131666667
C15,Corticotropin releasing hormone receptor 1,Crhr1,25.48,31.59,31.92,24.23,25.91,26.32,27.48,27.01,26.95,26.33,27.59,27.91,B,Family B Hormone receptors,734.185087,10.62948651,8.456144324,1746.196258,544.9575334,410.1477773,183.5462717,254.2316788,265.0278205,407.3146797,170.0717842,136.2393834,9.52,3.41,3.08,10.77,9.09,8.68,7.52,7.99,8.05,8.67,7.41,7.09,0.796600632,0.098759354,-0.363333333
C16,Corticotropin releasing hormone receptor 2,Crhr2,30.01,36.06,34.94,33.75,33.92,37.31,32.1,32,34.46,40,40,40,B,Family B Hormone receptors,31.77895985,0.47963206,1.042465761,2.37841423,2.114036081,0.20166044,7.464263932,8,1.453972517,0.03125,0.03125,0.03125,4.99,-1.06,0.06,1.25,1.08,-2.31,2.9,3,0.54,-5,-5,-5,0.30349437,0.517849361,2.095
C17,Chemokine (C-X3-C) receptor 1,Cx3cr1,29.47,39.45,33.92,28.76,26.53,27.86,33.77,28.56,33.84,34.81,22.15,25.28,A,Chemokine receptors,46.20573426,0.045752678,2.114036081,75.58353033,354.5880238,141.0438548,2.345669898,86.82267696,2.234574276,1.140763716,7383.04379,843.3572017,5.53,-4.45,1.08,6.24,8.47,7.14,1.23,6.44,1.16,0.19,12.85,9.72,0.673846352,0.171439118,-1.263333333
C18,Chemokine (C-X-C motif) receptor 1,Cxcr1,38.31,40,40,40,40,40,40,40,36.4,40,40,39.36,A,Chemokine receptors,0.10083022,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.378929142,0.03125,0.03125,0.048697786,-3.31,-5,-5,-5,-5,-5,-5,-5,-1.4,-5,-5,-4.36,0.529204879,0.27637616,-0.425
C19,Chemokine (C-X-C motif) receptor 2,Cxcr2,33.32,40,40,40,27.85,40,40,40,38.19,40,32.06,40,A,Chemokine receptors,3.20427951,0.03125,0.03125,0.03125,142.0248924,0.03125,0.03125,0.03125,0.109575715,0.03125,7.674112955,0.03125,1.68,-5,-5,-5,7.15,-5,-5,-5,-3.19,-5,2.94,-5,0.554396889,0.256179215,1.513333333
C20,Chemokine (C-X-C motif) receptor 3,Cxcr3,36.82,40,36.45,40,40,40,40,37.4,34.8,40,40,40,A,Chemokine receptors,0.283220971,0.03125,0.366021424,0.03125,0.03125,0.03125,0.03125,0.189464571,1.148698355,0.03125,0.03125,0.03125,-1.82,-5,-1.45,-5,-5,-5,-5,-2.4,0.2,-5,-5,-5,0.878554797,0.056231146,-0.178333333
C21,Chemokine (C-X-C motif) receptor 4,Cxcr4,26.84,31.64,33.56,24.7,24.94,25.48,24.91,25.65,27.07,29.55,24.25,28.13,A,Chemokine receptors,286.0255073,10.26740718,2.713208655,1260.691879,1067.484939,734.185087,1089.915067,652.5750412,243.8753275,43.71328822,1722.155858,116.9704256,8.16,3.36,1.44,10.3,10.06,9.52,10.09,9.35,7.93,5.45,10.75,6.87,0.487303421,0.31220054,-1.266666667
C22,Chemokine (C-X-C motif) receptor 5,Cxcr5,34.6,38.77,36.06,30.91,40,37.28,36.96,35.68,35.59,40,34.17,40,A,Chemokine receptors,1.319507911,0.073302184,0.47963206,17.02992292,0.03125,0.205897754,0.257028457,0.624165274,0.664342907,0.03125,1.777685362,0.03125,0.4,-3.77,-1.06,4.09,-5,-2.28,-1.96,-0.68,-0.59,-5,0.83,-5,0.641193398,0.193010958,0.796666667
C23,Chemokine (C-X-C motif) receptor 6,Cxcr6,40,36.66,30.15,29.93,30.84,30.05,33.99,30.03,29.75,33.74,40,25.47,A,Chemokine receptors,0.03125,0.316439148,28.8400148,33.59093388,17.87659421,30.90996253,2.0139111,31.34144952,38.05462768,2.394957409,0.03125,739.2917481,-5,-1.66,4.85,5.07,4.16,4.95,1.01,4.97,5.25,1.26,-5,9.53,0.778464481,0.108761198,-0.775
C24,Cysteinyl leukotriene receptor 1,Cysltr1,40,40,40,30.82,29.06,27.96,30.81,31.24,34.82,32.92,40,35.21,A,Lipid messenger receptors,0.03125,0.03125,0.03125,18.12614216,61.39290364,131.5985698,18.25221945,13.547925,1.132883885,4.228072162,0.03125,0.864537231,-5,-5,-5,4.18,5.94,7.04,4.19,3.76,0.18,2.08,-5,-0.21,0.8686508,0.061154776,-0.473333333
D01,Cysteinyl leukotriene receptor 2,Cysltr2,29.86,37.49,30.84,29.14,31.72,28.05,29.31,31.12,33.14,39.19,34.04,30.16,A,Lipid messenger receptors,35.26096371,0.178006274,17.87659421,58.08122594,9.713559075,123.6398501,51.62507259,14.72300241,3.630076621,0.054787858,1.945309895,28.64080227,5.14,-2.49,4.16,5.86,3.28,6.95,5.69,3.88,1.86,-4.19,0.96,4.84,0.431121411,0.365400408,1.643333333
D02,"Duffy blood group, chemokine receptor",Ackr1,20.03,22.47,20.47,19.75,19.63,20.04,20.29,19.8,20,18.87,19,20.52,A,Chemokine receptors,32093.64431,5914.333985,23657.33594,38967.93874,42347.81755,31871.95732,26801.01465,37640.5477,32768,71715.63201,65536,22851.48023,14.97,12.53,14.53,15.25,15.37,14.96,14.71,15.2,15,16.13,16,14.48,0.231714536,0.63504672,-0.651666667
D03,Dopamine receptor D1A,Drd1,27.43,36.8,33.24,26.02,29.99,26.66,28.3,27.63,29.43,40,26.92,40,A,Neurotransmitter receptors,190.019017,0.287174589,3.386981249,504.9511447,32.2225776,324.0336881,103.9683067,165.4211623,47.50475426,0.03125,270.5966184,0.03125,7.57,-1.8,1.76,8.98,5.01,8.34,6.7,7.37,5.57,-5,8.08,-5,0.525292702,0.279598633,2.023333333
D04,Dopamine receptor D2,Drd2,24.57,33.11,31,23.7,24.31,23,31.75,30.31,27.64,30.64,32.88,25.51,A,Neurotransmitter receptors,1379.567183,3.706352248,16,2521.383759,1652.002323,4096,9.51365692,25.8125363,164.2785149,20.53481436,4.34693945,719.0757764,10.43,1.89,4,11.3,10.69,12,3.25,4.69,7.36,4.36,2.12,9.49,0.158091234,0.801092209,3.173333333
D05,Dopamine receptor D3,Drd3,31.88,35.76,32.76,30.78,28.92,30.64,27.13,31.09,32.03,29.13,32.88,29.75,A,Neurotransmitter receptors,8.6938789,0.590496331,4.723970646,18.63573738,67.6491546,20.53481436,233.9408513,15.03236399,7.835362381,58.48521281,4.34693945,38.05462768,3.12,-0.76,2.24,4.22,6.08,4.36,7.87,3.91,2.97,5.87,2.12,5.25,0.282731629,0.548625604,-1.455
D06,Dopamine receptor D4,Drd4,33.53,33.47,34.81,31.51,30.62,36.02,32.77,30.88,34.9,40,32.17,40,A,Neurotransmitter receptors,2.770218936,2.887858391,1.140763716,11.23555901,20.82146969,0.493116352,4.691339797,17.3877578,1.071773463,0.03125,7.110741449,0.03125,1.47,1.53,0.19,3.49,4.38,-1.02,2.23,4.12,0.1,-5,2.83,-5,0.349195475,0.456931392,1.793333333
D07,Dopamine receptor D5,Drd5,36.85,36.74,38.06,30.82,30.08,31.09,32.92,32.57,33.8,28.83,32.22,34.75,A,Neurotransmitter receptors,0.277392368,0.299369676,0.119908015,18.12614216,30.2738447,15.03236399,4.228072162,5.388934307,2.29739671,72.00374302,6.868523492,1.189207115,-1.85,-1.74,-3.06,4.18,4.92,3.91,2.08,2.43,1.2,6.17,2.78,0.25,0.421012356,0.375705158,-1.425
D08,Endothelin receptor type A,Ednra,29.25,34.01,32.63,29.53,29.11,32.49,26.67,27.14,26.21,38.5,31.7,27.25,A,Neuropeptide receptors,53.81737058,1.986184991,5.169411323,44.32350298,59.30163596,5.696200782,321.7954239,232.3249038,442.6430624,0.088388348,9.849155307,215.2694823,5.75,0.99,2.37,5.47,5.89,2.51,8.33,7.86,8.79,-3.5,3.3,7.75,0.474816332,0.323474352,-1.591666667
D09,Endothelin receptor type B,Ednrb,22.74,23.18,21.14,23.16,20.54,20.58,18.64,18.72,19.98,21.33,21.02,19.54,A,Neuropeptide receptors,4904.872774,3615.551473,14868.79384,3666.022691,22536.87715,21920.60506,84110.59962,79573.47594,33225.42423,13034.06975,16158.43663,45073.7543,12.26,11.82,13.86,11.84,14.46,14.42,16.36,16.28,15.02,13.67,13.98,15.46,0.015778333,1.80193889,-2.018333333
D10,"EGF, latrophilin seven transmembrane domain containing 1",Adgrl4,26.71,30.21,34.04,25.48,25.68,26.54,24.89,24.56,25.8,25.12,26.45,23.66,B,Family B Adhesion Receptors,312.9959111,27.6651914,1.945309895,734.185087,639.145241,352.1387054,1105.129714,1389.162831,588.1335578,942.2721542,374.8059382,2592.269504,8.29,4.79,0.96,9.52,9.32,8.46,10.11,10.44,9.2,9.88,8.55,11.34,0.060476685,1.218412019,-3.03
D11,"EGF-like module containing, mucin-like, hormone receptor-like sequence 1",Adgre1,32.21,33.07,33.21,27.76,28.69,31.94,28.65,27.47,28.81,27.46,23.72,26.85,B,Family B Adhesion Receptors,6.91629785,3.810551992,3.458148925,151.1670607,79.3412928,8.339726087,81.57188015,184.822937,73.00887782,186.1084822,2486.671123,284.0497848,2.79,1.93,1.79,7.24,6.31,3.06,6.35,7.53,6.19,7.54,11.28,8.15,0.008268413,2.082577846,-3.986666667
D12,"EGF-like module containing, mucin-like, hormone receptor-like sequence 4",Adgre4,27.81,28.93,39.58,27.23,27.85,34.12,25.49,26.21,27.29,32.34,28.79,25.38,B,Family B Adhesion Receptors,146.0177556,67.18186775,0.041810236,218.2745323,142.0248924,1.840375301,729.1137001,442.6430624,209.382927,6.320330495,74.02804377,786.8800928,7.19,6.07,-4.58,7.77,7.15,0.88,9.51,8.79,7.71,2.66,6.21,9.62,0.175618703,0.755429234,-3.336666667
D13,Coagulation factor II (thrombin) receptor,F2r,22.86,28.12,29.64,22.24,23.2,22.55,23.68,24.28,26.64,27.14,24.11,25.7,A,PAR receptors,4513.403355,117.7840193,41.06962872,6936.537599,3565.775107,5595.300892,2556.580964,1686.714403,328.5570298,232.3249038,1897.652351,630.3459396,12.14,6.88,5.36,12.76,11.8,12.45,11.32,10.72,8.36,7.86,10.89,9.3,0.741848773,0.129684617,0.49
D14,Coagulation factor II (thrombin) receptor-like 1,F2rl1,33.54,37.75,32.78,33.45,37.37,33.21,34.86,35.48,31.86,40,35.16,40,A,PAR receptors,2.751083636,0.148650889,4.658934346,2.928171392,0.193445624,3.458148925,1.101905116,0.716977624,8.815240927,0.03125,0.895025071,0.03125,1.46,-2.75,2.22,1.55,-2.37,1.79,0.14,-0.48,3.14,-5,-0.16,-5,0.356151469,0.44836526,1.543333333
D15,Coagulation factor II (thrombin) receptor-like 2,F2rl2,30.15,40,36.66,27.83,29.89,29.3,28.57,28.24,35.07,40,31.57,25.63,A,PAR receptors,28.8400148,0.03125,0.316439148,144.007486,34.53530357,51.98415337,86.22294892,108.3834,0.952637998,0.03125,10.77786861,661.6846493,4.85,-5,-1.66,7.17,5.11,5.7,6.43,6.76,-0.07,-5,3.43,9.37,0.792046104,0.101249538,-0.791666667
D16,Coagulation factor II (thrombin) receptor-like 3,F2rl3,40,40,39.03,40,40,30.84,38.22,35.47,35.81,40,40,40,A,PAR receptors,0.03125,0.03125,0.061213769,0.03125,0.03125,17.87659421,0.10732068,0.721964598,0.570381858,0.03125,0.03125,0.03125,-5,-5,-4.03,-5,-5,4.16,-3.22,-0.47,-0.81,-5,-5,-5,0.972393357,0.012158017,-0.061666667
D17,Free fatty acid receptor 1,Ffar1,40,40,38.04,40,40,40,40,40,37.38,40,40,40,A,Chemosensors,0.03125,0.03125,0.121581868,0.03125,0.03125,0.03125,0.03125,0.03125,0.192109398,0.03125,0.03125,0.03125,-5,-5,-3.04,-5,-5,-5,-5,-5,-2.38,-5,-5,-5,0.844186565,0.073561564,-0.11
D18,Free fatty acid receptor 2,Ffar2,30.93,37.64,37.49,29.05,36.21,31.68,35.43,35.97,34.04,38.08,35.9,36.95,A,Chemosensors,16.79546694,0.160428237,0.178006274,61.81992505,0.432268616,9.986644391,0.742261785,0.510506063,1.945309895,0.118257206,0.535886731,0.258816231,4.07,-2.64,-2.49,5.95,-1.21,3.32,-0.43,-0.97,0.96,-3.08,-0.9,-1.95,0.199282535,0.700530761,2.228333333
D19,Free fatty acid receptor 3,Ffar3,29.02,30.49,30.13,32.67,33.46,33.17,28.15,28.87,30.25,33.01,33.53,33.44,A,Chemosensors,63.11889309,22.78480313,29.24260641,5.028053498,2.907945035,3.555370725,115.3600592,70.03479688,26.90868529,3.972369982,2.770218936,2.948538435,5.98,4.51,4.87,2.33,1.54,1.83,6.85,6.13,4.75,1.99,1.47,1.56,0.825391817,0.083339841,-0.281666667
D20,Omega-3 fatty acid receptor 1,Ffar4,28.81,40,25.56,27.46,26.73,27.77,35.31,38.75,38.09,40,40,40,A,Chemosensors,73.00887782,0.03125,694.5814157,186.1084822,308.6868039,150.1228735,0.806641759,0.074325445,0.117440344,0.03125,0.03125,0.03125,6.19,-5,9.44,7.54,8.27,7.23,-0.31,-3.75,-3.09,-5,-5,-5,0.002306226,2.637098064,9.303333333
D21,Formyl peptide receptor 1,Fpr1,29.21,37.9,29.29,27.21,29.07,29.32,29.83,30.35,27.71,40,32.7,30.34,A,Neuropeptide receptors,55.3303828,0.133971683,52.34573175,221.3215312,60.96883187,51.26847217,36.00187151,25.10669113,156.4979555,0.03125,4.924577653,25.28132198,5.79,-2.9,5.71,7.79,5.93,5.68,5.17,4.65,7.29,-5,2.3,4.66,0.539765455,0.267794914,1.488333333
D22,Formyl peptide receptor 2,Fpr2,40,40,37.18,28.52,26.96,40,30.26,27.6,37.9,40,28.02,40,A,Lipid messenger receptors,0.03125,0.03125,0.220675749,89.26359465,263.1971396,0.03125,26.72281342,168.8970126,0.133971683,0.03125,126.2377862,0.03125,-5,-5,-2.18,6.48,8.04,-5,4.74,7.4,-2.9,-5,6.98,-5,0.679552626,0.167776905,-1.48
D23,Formyl peptide receptor 3,Fpr3,40,40,37.74,40,40,40,40,40,36.26,40,40,40,A,Neuropeptide receptors,0.03125,0.03125,0.149684838,0.03125,0.03125,0.03125,0.03125,0.03125,0.41754396,0.03125,0.03125,0.03125,-5,-5,-2.74,-5,-5,-5,-5,-5,-1.26,-5,-5,-5,0.741848895,0.129684546,-0.246666667
D24,Follicle stimulating hormone receptor,Fshr,35.62,38.77,35.09,40,40,39.54,40,36.96,40,40,40,40,A,Glycoprotein hormone receptors,0.650670928,0.073302184,0.939522749,0.03125,0.03125,0.042985682,0.03125,0.257028457,0.03125,0.03125,0.03125,0.03125,-0.62,-3.77,-0.09,-5,-5,-4.54,-5,-1.96,-5,-5,-5,-5,0.233188253,0.632293331,1.323333333
E01,Frizzled homolog 1 (Drosophila),Fzd1,27.27,33.74,31.12,26.2,27.5,27.16,26.2,28.31,27.83,35.58,24.74,24.89,Frizzled,Frizzled receptors,212.3058037,2.394957409,14.72300241,445.7218884,181.019336,229.1264182,445.7218884,103.2501452,144.007486,0.668963777,1226.218194,1105.129714,7.73,1.26,3.88,8.8,7.5,7.84,8.8,6.69,7.17,-0.58,10.26,10.11,0.665561483,0.17681182,-0.906666667
E02,Frizzled homolog 10 (Drosophila),Fzd10,36.42,40,37.8,35.21,34.01,34.58,32.74,33.92,36.21,40,31.61,40,Frizzled,Frizzled receptors,0.373712312,0.03125,0.143587294,0.864537231,1.986184991,1.337927555,4.789914818,2.114036081,0.432268616,0.03125,10.48314723,0.03125,-1.42,-5,-2.8,-0.21,0.99,0.42,2.26,1.08,-1.21,-5,3.39,-5,0.742097831,0.129538838,-0.59
E03,Frizzled homolog 2 (Drosophila),Fzd2,27.19,31.79,27.27,28.22,27.92,28.14,25.79,27.17,28.26,28.6,27.53,26.62,Frizzled,Frizzled receptors,224.4110647,9.253505471,212.3058037,109.8963759,135.2983092,116.1624519,592.2243502,227.5437264,106.8912537,84.44850629,177.2940119,333.143515,7.81,3.21,7.73,6.78,7.08,6.86,9.21,7.83,6.74,6.4,7.47,8.38,0.209981497,0.677818973,-1.093333333
E04,Frizzled homolog 3 (Drosophila),Fzd3,23.54,27.11,23.48,22.71,22.72,23.56,22.85,23.46,24.08,23.35,22.93,24.62,Frizzled,Frizzled receptors,2817.109644,237.2065438,2936.740348,5007.934577,4973.342246,2778.325663,4544.796558,2977.735715,1937.52606,3213.656465,4299.639536,1332.57406,11.46,7.89,11.52,12.29,12.28,11.44,12.15,11.54,10.92,11.65,12.07,10.38,0.683824096,0.1650556,-0.305
E05,Frizzled homolog 4 (Drosophila),Fzd4,31.78,40,40,28.83,27,31.89,27.74,26.14,27.77,40,27.96,29.45,Frizzled,Frizzled receptors,9.317868692,0.03125,0.03125,72.00374302,256,8.633825892,153.2772742,464.6498075,150.1228735,0.03125,131.5985698,46.85074227,3.22,-5,-5,6.17,8,3.11,7.26,8.86,7.23,-5,7.04,5.55,0.293344511,0.532622034,-3.406666667
E06,Frizzled homolog 5 (Drosophila),Fzd5,27.98,24.77,24.03,24.11,22.62,24.8,22.56,21.06,21.52,21.77,23.15,23.12,Frizzled,Frizzled receptors,129.7868134,1200.982988,2005.852769,1897.652351,5330.29624,1176.267116,5556.651325,15716.58333,11425.74011,9607.863904,3691.521895,3769.088617,7.02,10.23,10.97,10.89,12.38,10.2,12.44,13.94,13.48,13.23,11.85,11.88,0.011056057,1.95639972,-2.521666667
E07,Frizzled homolog 6 (Drosophila),Fzd6,29.34,29.54,40,28.19,28.69,28.19,27.73,27.59,33.07,40,32.65,27.92,Frizzled,Frizzled receptors,50.56264396,44.01733818,0.03125,112.2055323,79.3412928,112.2055323,154.3434019,170.0717842,3.810551992,0.03125,5.098242509,135.2983092,5.66,5.46,-5,6.81,6.31,6.81,7.27,7.41,1.93,-5,2.35,7.08,0.766528708,0.115471575,0.835
E08,Frizzled homolog 7 (Drosophila),Fzd7,36.48,35.5,33.78,33.73,30.74,40,27.23,32.03,33.49,40,40,28.75,Frizzled,Frizzled receptors,0.358488812,0.707106781,2.329467173,2.411615655,19.15965927,0.03125,218.2745323,7.835362381,2.848100391,0.03125,0.03125,76.10925536,-1.48,-0.5,1.22,1.27,4.26,-5,7.77,2.97,1.51,-5,-5,6.25,0.582862728,0.234433715,-1.455
E09,Frizzled homolog 8 (Drosophila),Fzd8,30.87,36.53,35.92,32.49,30.06,28.53,35.53,34.01,32.99,40,27.22,35.33,Frizzled,Frizzled receptors,17.50869922,0.346277367,0.52850902,5.696200782,30.69645182,88.64700596,0.692554734,1.986184991,4.0278222,0.03125,219.7927517,0.795536484,4.13,-1.53,-0.92,2.51,4.94,6.47,-0.53,0.99,2.01,-5,7.78,-0.33,0.427808763,0.368750324,1.78
E10,Frizzled homolog 9 (Drosophila),Fzd9,30.55,37.65,35.58,30.57,27.75,27.17,31.81,34.09,29.92,40,29.14,28.58,Frizzled,Frizzled receptors,21.85664411,0.159320078,0.668963777,21.55573723,152.2185107,227.5437264,9.126109727,1.879045498,33.8245773,0.03125,58.08122594,85.62736351,4.45,-2.65,-0.58,4.43,7.25,7.83,3.19,0.91,5.08,-5,5.86,6.42,0.778085727,0.108972551,0.711666667
E11,"Gamma-aminobutyric acid (GABA) B receptor, 1",Gabbr1,22.98,27.5,25.84,22.36,22.76,23.62,24.2,24.42,25.28,24,23.62,23.32,C,Family C,4153.178029,181.019336,572.0510147,6382.916237,4837.345941,2665.14812,1782.887554,1530.725631,843.3572017,2048,2665.14812,3281.182219,12.02,7.5,9.16,12.64,12.24,11.38,10.8,10.58,9.72,11,11.38,11.68,0.967565312,0.01431971,-0.036666667
E12,"Gamma-aminobutyric acid (GABA) B receptor, 2",Gabbr2,22.24,31.9,26.87,22.74,22.09,22.79,25.62,26.5,25.44,23.47,21.11,24.34,C,Family C,6936.537599,8.5741877,280.1391875,4904.872774,7696.570362,4737.794801,666.28703,362.038672,754.8258393,2957.166992,15181.21881,1618.004607,12.76,3.1,8.13,12.26,12.91,12.21,9.38,8.5,9.56,11.53,13.89,10.66,0.844885593,0.073202096,-0.358333333
E13,Galanin receptor 1,Galr1,32.63,35.13,35.46,30.44,28.54,31.93,30.67,29.57,32.26,40,27.88,33.42,A,Neuropeptide receptors,5.169411323,0.91383145,0.726986259,23.58830748,88.03467636,8.397733469,20.11221399,43.11147446,6.680703355,0.03125,139.1020624,2.989698497,2.37,-0.13,-0.46,4.56,6.46,3.07,4.33,5.43,2.74,-5,7.12,1.58,0.979118515,0.009164737,-0.055
E14,Galanin receptor 2,Galr2,30.05,33.66,31.22,30.77,34.25,35.85,30.16,31.79,29.96,26.95,35.44,37.64,A,Neuropeptide receptors,30.90996253,2.531513188,13.73704698,18.76535919,1.681792831,0.554784736,28.64080227,9.253505471,32.89964245,265.0278205,0.737134609,0.160428237,4.95,1.34,3.78,4.23,0.75,-0.85,4.84,3.21,5.04,8.05,-0.44,-2.64,0.735508061,0.133412563,-0.643333333
E15,Galanin receptor 3,Galr3,33.14,35.05,32.03,36.42,32.7,30.63,31.69,33.75,32.92,38.24,36.46,36.91,A,Neuropeptide receptors,3.630076621,0.965936329,7.835362381,0.373712312,4.924577653,20.67764529,9.9176616,2.37841423,4.228072162,0.105843164,0.363493129,0.266092546,1.86,-0.05,2.97,-1.42,2.3,4.37,3.31,1.25,2.08,-3.24,-1.46,-1.91,0.246687168,0.607853441,1.666666667
E16,Glucagon receptor,Gcgr,37.9,40,40,32.29,40,40,40,36.87,36.91,40,40,40,B,Family B Hormone receptors,0.133971683,0.03125,0.03125,6.543216468,0.03125,0.03125,0.03125,0.273573425,0.266092546,0.03125,0.03125,0.03125,-2.9,-5,-5,2.71,-5,-5,-5,-1.87,-1.91,-5,-5,-5,0.682943873,0.165614987,0.598333333
E17,Growth hormone releasing hormone receptor,Ghrhr,32.29,35.28,31.05,36.97,35.89,36.97,33.52,32.05,31.08,37.81,36.63,37.23,B,Family B Hormone receptors,6.543216468,0.823591017,15.45498126,0.255253031,0.539614118,0.255253031,2.789487333,7.727490631,15.13692235,0.142595464,0.323088208,0.213158723,2.71,-0.28,3.95,-1.97,-0.89,-1.97,1.48,2.95,3.92,-2.81,-1.63,-2.23,0.989153516,0.004736301,-0.021666667
E18,Growth hormone secretagogue receptor,Ghsr,25.44,31.73,27.8,25.96,26.49,25.71,29.49,29.54,31.28,35.68,29.19,40,A,Peptide hormone receptors,754.8258393,9.646462622,147.0333894,526.3942792,364.5568501,625.9918222,45.56960626,44.01733818,13.17745628,0.624165274,56.10276616,0.03125,9.56,3.27,7.2,9.04,8.51,9.29,5.51,5.46,3.72,-0.68,5.81,-5,0.025672064,1.590539215,5.341666667
E19,Gastric inhibitory polypeptide receptor,Gipr,33.27,37.63,35.32,36.86,34.59,33.19,37.34,34.97,35.8,40,36.51,32.05,B,Family B Hormone receptors,3.317278183,0.161544104,0.801069878,0.275476279,1.328685814,3.506422885,0.197510328,1.021012126,0.574349177,0.03125,0.351111219,7.727490631,1.73,-2.63,-0.32,-1.86,0.41,1.81,-2.34,0.03,-0.8,-5,-1.51,2.95,0.476761761,0.321698585,0.968333333
E20,Glucagon-like peptide 1 receptor,Glp1r,31.89,33.72,32.8,29.28,29.19,30.49,31.46,30.51,30.12,25.88,28.83,30.35,B,Family B Hormone receptors,8.633825892,2.428389769,4.59479342,52.70982511,56.10276616,22.78480313,11.63178014,22.47111801,29.44600482,556.4082496,72.00374302,25.10669113,3.11,1.28,2.2,5.72,5.81,4.51,3.54,4.49,4.88,9.12,6.17,4.65,0.15675184,0.804787351,-1.703333333
E21,Glucagon-like peptide 2 receptor,Glp2r,28.14,36.07,33.16,29.88,35.96,37.36,30,30.55,32.57,29.65,39.32,25.6,B,Family B Hormone receptors,116.1624519,0.476318999,3.580100284,34.7755156,0.514056913,0.194791145,32,21.85664411,5.388934307,40.78594007,0.050066867,675.5880503,6.86,-1.07,1.84,5.12,-0.96,-2.36,5,4.45,2.43,5.35,-4.32,9.4,0.392197275,0.406495429,-2.146666667
E22,Gonadotropin releasing hormone receptor,Gnrhr,37.94,40,36.24,40,34.49,40,37.57,34.6,28.13,40,40,40,A,Peptide hormone receptors,0.13030822,0.03125,0.423372656,0.03125,1.424050196,0.03125,0.168404197,1.319507911,116.9704256,0.03125,0.03125,0.03125,-2.94,-5,-1.24,-5,0.51,-5,-2.57,0.4,6.87,-5,-5,-5,0.530990976,0.27491286,-1.395
E23,G protein-coupled bile acid receptor 1,Gpbar1,37.65,40,36.59,34.23,34.91,40,40,38.14,37.45,40,40,40,A,Chemosensors,0.159320078,0.03125,0.332171454,1.705269784,1.064370182,0.03125,0.03125,0.113439894,0.183010712,0.03125,0.03125,0.03125,-2.65,-5,-1.59,0.77,0.09,-5,-5,-3.14,-2.45,-5,-5,-5,0.096929501,1.013544023,2.035
E24,G protein-coupled receptor 30,Gper1,29.24,37,32.98,31.62,28.47,32.04,29.71,32.67,34.2,29.48,35.82,29.81,A,Lipid messenger receptors,54.19169999,0.25,4.055837919,10.41073484,92.41146851,7.781239579,39.12448889,5.028053498,1.741101127,45.88656794,0.566441943,36.50443891,5.76,-2,2.02,3.38,6.53,2.96,5.29,2.33,0.8,5.52,-0.82,5.19,0.97339212,0.011712174,0.056666667
F01,G protein-coupled receptor 1,Gpr1,28.52,35.78,34.7,27.6,29.95,24.35,33.35,31.6,32.29,40,29.72,40,A,Class A Orphans,89.26359465,0.582366793,1.231144413,168.8970126,33.12847756,1606.828232,3.138336392,10.55606329,6.543216468,0.03125,38.8542363,0.03125,6.48,-0.78,0.3,7.4,5.05,10.65,1.65,3.4,2.71,-5,5.28,-5,0.117773056,0.928954055,4.343333333
